rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.299590471092,0.33,100,
rapidez, referencia, pid,0.408149469773,0.33,-10,
rapidez, referencia, pid,0.358149469773,0.33,-10,
rapidez, referencia, pid,0.308149469773,0.33,-9.21216791254,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.308149469773,0.33,100,
rapidez, referencia, pid,0.479254073895,0.33,-10,
rapidez, referencia, pid,0.429254073895,0.33,-10,
rapidez, referencia, pid,0.379254073895,0.33,-10,
rapidez, referencia, pid,0.329254073895,0.33,-75.2749622944,
rapidez, referencia, pid,0.329254073895,0.33,61.7852746024,
rapidez, referencia, pid,0.329254073895,0.33,61.8445114993,
rapidez, referencia, pid,0.329254073895,0.33,61.9037483962,
rapidez, referencia, pid,0.329254073895,0.33,61.962985293,
rapidez, referencia, pid,0.329254073895,0.33,62.0222221899,
rapidez, referencia, pid,0.329254073895,0.33,62.0814590868,
rapidez, referencia, pid,0.329254073895,0.33,62.1406959836,
rapidez, referencia, pid,0.329254073895,0.33,62.1999328805,
rapidez, referencia, pid,0.329254073895,0.33,62.2591697773,
rapidez, referencia, pid,0.329254073895,0.33,62.3184066742,
rapidez, referencia, pid,0.329254073895,0.33,62.3776435711,
rapidez, referencia, pid,0.329254073895,0.33,62.4368804679,
rapidez, referencia, pid,0.329254073895,0.33,62.4961173648,
rapidez, referencia, pid,0.329254073895,0.33,62.5553542617,
rapidez, referencia, pid,0.553315852024,0.33,-10,
rapidez, referencia, pid,0.503315852024,0.33,-10,
rapidez, referencia, pid,0.453315852024,0.33,-10,
rapidez, referencia, pid,0.403315852024,0.33,-10,
rapidez, referencia, pid,0.353315852024,0.33,-10,
rapidez, referencia, pid,0.303315852024,0.33,-74.0444353829,
rapidez, referencia, pid,0.303315852024,0.33,65.0756567228,
rapidez, referencia, pid,0.303315852024,0.33,67.1947488285,
rapidez, referencia, pid,0.303315852024,0.33,69.3138409342,
rapidez, referencia, pid,0.303315852024,0.33,71.4329330399,
rapidez, referencia, pid,0.303315852024,0.33,73.5520251456,
rapidez, referencia, pid,0.303315852024,0.33,75.6711172513,
